Computer Time,Timestamp,Time (Milli Sec.),Galvanic_Skin_Response,Heart_Rate,Skin_Temperature,Mood
 22:35:49,00:00:20,19989,478,71,25.39,RELAXED
 22:35:49,00:00:20,20201,475,71,29.3,RELAXED
 22:35:50,00:00:20,20414,476,71,39.06,RELAXED
 22:35:50,00:00:21,20626,479,71,31.74,RELAXED
 22:35:50,00:00:21,20839,476,72,24.9,RELAXED
 22:35:50,00:00:21,21051,479,72,38.57,RELAXED
 22:35:50,00:00:21,21264,476,72,20.02,RELAXED
 22:35:51,00:00:21,21477,474,72,39.06,RELAXED
 22:35:51,00:00:22,21689,479,72,31.25,RELAXED
 22:35:51,00:00:22,21902,476,72,20.02,RELAXED
 22:35:51,00:00:22,22114,480,72,35.16,RELAXED
 22:35:52,00:00:22,22327,481,72,26.86,RELAXED
 22:35:52,00:00:23,22539,476,72,28.81,RELAXED
 22:35:52,00:00:23,22752,479,72,24.41,RELAXED
 22:35:57,00:00:28,28102,492,66,472.17,RELAXED
 22:35:58,00:00:28,28315,492,66,6.35,RELAXED
 22:35:58,00:00:29,28527,494,71,278.81,RELAXED
 22:35:58,00:00:29,28740,493,71,205.57,RELAXED
 22:35:58,00:00:29,28952,491,71,24.41,RELAXED
 22:35:58,00:00:29,29165,492,71,30.27,RELAXED
 22:35:59,00:00:29,29378,490,71,24.9,RELAXED
 22:35:59,00:00:30,29590,490,71,27.34,RELAXED
 22:35:59,00:00:30,29803,492,71,21.97,RELAXED
 22:35:59,00:00:30,30015,487,71,23.44,RELAXED
 22:35:59,00:00:30,30228,491,71,25.39,RELAXED
 22:36:00,00:00:30,30441,490,71,24.9,RELAXED
 22:36:00,00:00:31,30653,487,71,36.13,RELAXED
 22:36:01,00:00:32,32253,488,84,21.48,SAD
 22:36:02,00:00:32,32465,491,84,24.9,SAD
 22:36:02,00:00:33,32678,488,84,21.48,SAD
 22:36:02,00:00:33,32891,488,84,23.93,SAD
 22:36:02,00:00:33,33103,490,85,20.02,HAPPY
 22:36:03,00:00:33,33315,487,85,36.62,HAPPY
 22:36:03,00:00:34,33528,488,85,26.86,HAPPY
 22:36:03,00:00:34,33741,489,85,41.5,HAPPY
 22:36:03,00:00:34,33953,486,85,26.37,HAPPY
 22:36:03,00:00:34,34166,489,85,17.58,HAPPY
 22:36:04,00:00:34,34378,488,85,22.46,HAPPY
 22:36:04,00:00:35,34591,486,85,22.95,HAPPY
 22:36:04,00:00:35,34804,489,85,30.76,HAPPY
 22:36:04,00:00:35,35016,487,85,37.11,HAPPY
 22:36:04,00:00:35,35229,487,84,25.88,SAD
 22:36:05,00:00:35,35441,490,84,25.88,SAD
 22:36:05,00:00:36,35654,485,84,24.9,SAD
 22:36:05,00:00:36,35867,488,84,21.97,SAD
 22:36:05,00:00:36,36079,488,84,23.44,SAD
 22:36:06,00:00:36,36292,486,84,21.97,SAD
 22:36:06,00:00:37,36504,489,84,22.46,SAD
 22:36:06,00:00:37,36717,487,84,22.95,SAD
 22:36:06,00:00:37,36930,488,84,23.44,SAD
 22:36:06,00:00:37,37142,490,84,26.86,SAD
 22:36:07,00:00:37,37355,486,83,23.44,SAD
 22:36:07,00:00:38,37567,489,83,21.48,SAD
 22:36:07,00:00:38,37780,489,83,21.48,SAD
 22:36:07,00:00:38,37992,486,85,22.95,HAPPY
 22:36:07,00:00:38,38205,489,85,23.93,HAPPY
 22:36:08,00:00:38,38417,487,85,39.06,HAPPY
 22:36:08,00:00:39,38630,487,85,21,HAPPY
 22:36:08,00:00:39,38842,491,85,25.88,HAPPY
 22:36:08,00:00:39,39055,486,85,29.3,HAPPY
 22:36:09,00:00:39,39267,488,85,20.51,HAPPY
 22:36:09,00:00:39,39480,489,85,42.97,HAPPY
 22:36:09,00:00:40,39692,486,85,36.62,HAPPY
 22:36:09,00:00:40,39904,489,85,36.62,HAPPY
 22:36:09,00:00:40,40117,487,70,22.95,RELAXED
 22:36:10,00:00:40,40329,486,70,41.99,RELAXED
 22:36:10,00:00:41,40542,489,70,44.92,RELAXED
 22:36:10,00:00:41,40754,486,70,33.69,RELAXED
 22:36:10,00:00:41,40967,489,70,26.86,RELAXED
 22:36:10,00:00:41,41180,489,70,41.99,RELAXED
 22:36:11,00:00:41,41392,485,70,41.02,RELAXED
 22:36:11,00:00:42,41604,489,70,36.62,RELAXED
 22:36:11,00:00:42,41817,488,70,21.97,RELAXED
 22:36:11,00:00:42,42030,486,70,21,RELAXED
 22:36:11,00:00:42,42242,489,70,21,RELAXED
 22:36:12,00:00:42,42455,486,70,30.27,RELAXED
 22:36:13,00:00:44,43746,489,77,20.51,RELAXED
 22:36:13,00:00:44,43959,489,77,32.23,RELAXED
 22:36:13,00:00:44,44172,486,77,24.9,RELAXED
 22:36:14,00:00:44,44384,489,77,21.97,RELAXED
 22:36:14,00:00:45,44597,488,77,32.71,RELAXED
 22:36:14,00:00:45,44809,486,77,25.39,RELAXED
 22:36:14,00:00:45,45022,490,77,22.46,RELAXED
 22:36:14,00:00:45,45235,487,77,22.46,RELAXED
 22:36:15,00:00:45,45447,487,75,36.13,RELAXED
 22:36:15,00:00:46,45660,489,75,41.5,RELAXED
 22:36:15,00:00:46,45872,485,75,22.46,RELAXED
 22:36:15,00:00:46,46085,488,77,23.44,RELAXED
 22:36:16,00:00:46,46297,488,77,25.88,RELAXED
 22:36:16,00:00:47,46510,488,77,41.99,RELAXED
 22:36:16,00:00:47,46722,489,77,24.9,RELAXED
 22:36:16,00:00:47,46935,487,77,35.16,RELAXED
 22:36:16,00:00:47,47148,486,77,21.48,RELAXED
 22:36:17,00:00:47,47360,489,77,33.2,RELAXED
 22:36:17,00:00:48,47572,485,77,21,RELAXED
 22:36:17,00:00:48,47784,487,77,20.51,RELAXED
 22:36:17,00:00:48,47997,487,77,20.02,RELAXED
 22:36:17,00:00:48,48209,484,77,40.04,RELAXED
 22:36:18,00:00:48,48422,487,77,23.93,RELAXED
 22:36:26,00:00:56,56444,492,67,42.97,RELAXED
 22:36:26,00:00:57,56657,494,67,23.44,RELAXED
 22:36:26,00:00:57,56869,493,72,20.02,RELAXED
 22:36:26,00:00:57,57082,497,72,21.48,RELAXED
 22:36:27,00:00:57,57294,497,78,26.86,RELAXED
 22:36:27,00:00:58,57507,495,78,26.86,RELAXED
 22:36:27,00:00:58,57719,497,83,21,SAD
 22:36:27,00:00:58,57932,493,83,23.93,SAD
 22:36:27,00:00:58,58144,493,83,25.88,SAD
 22:36:28,00:00:58,58357,496,83,29.3,SAD
 22:36:28,00:00:59,58569,493,85,27.34,HAPPY
 22:36:28,00:00:59,58782,496,85,28.81,HAPPY
 22:36:28,00:00:59,58995,496,91,29.3,HAPPY
 22:36:28,00:00:59,59207,493,91,23.44,HAPPY
 22:36:29,00:00:59,59420,497,98,23.44,HAPPY
 22:36:29,00:01:00,59632,495,98,23.93,HAPPY
 22:36:29,00:01:00,59845,495,98,25.88,HAPPY
 22:36:29,00:01:00,60057,497,98,24.41,HAPPY
 22:36:30,00:01:00,60270,494,98,33.69,HAPPY
 22:36:30,00:01:00,60483,497,96,25.39,HAPPY
 22:36:30,00:01:01,60695,497,96,28.81,HAPPY
 22:36:30,00:01:01,60908,494,96,26.86,HAPPY
 22:36:30,00:01:01,61120,498,96,26.37,HAPPY
 22:36:31,00:01:01,61333,496,95,24.41,HAPPY
 22:36:31,00:01:02,61545,496,95,23.44,HAPPY
 22:36:31,00:01:02,61758,499,95,27.34,HAPPY
 22:36:31,00:01:02,61971,495,95,29.3,HAPPY
 22:36:31,00:01:02,62183,498,95,21,HAPPY
 22:36:32,00:01:02,62396,498,95,30.27,HAPPY
 22:36:32,00:01:03,62608,495,95,31.74,HAPPY
 22:36:32,00:01:03,62821,498,95,41.02,HAPPY
 22:36:32,00:01:03,63033,497,91,28.32,HAPPY
 22:36:32,00:01:03,63246,495,91,32.23,HAPPY
 22:36:33,00:01:03,63458,498,91,33.2,HAPPY
 22:36:33,00:01:04,63671,494,91,26.37,HAPPY
 22:36:33,00:01:04,63883,496,86,20.02,HAPPY
 22:36:33,00:01:04,64096,498,86,21.97,HAPPY
 22:36:34,00:01:04,64308,494,86,26.86,HAPPY
 22:36:34,00:01:05,64521,497,86,29.3,HAPPY
 22:36:34,00:01:05,64734,495,79,21.48,RELAXED
 22:36:34,00:01:05,64946,494,79,23.44,RELAXED
 22:36:34,00:01:05,65159,497,79,20.02,RELAXED
 22:36:35,00:01:05,65371,494,79,33.2,RELAXED
 22:36:35,00:01:06,65584,496,79,40.53,RELAXED
 22:36:35,00:01:06,65796,497,79,21.97,RELAXED
 22:36:35,00:01:06,66009,494,79,30.76,RELAXED
 22:36:35,00:01:06,66222,497,79,33.2,RELAXED
 22:36:36,00:01:06,66434,496,79,32.23,RELAXED
 22:36:36,00:01:07,66647,494,79,26.37,RELAXED
 22:36:36,00:01:07,66859,496,79,21.48,RELAXED
 22:36:36,00:01:07,67072,494,79,34.18,RELAXED
 22:36:37,00:01:07,67283,495,79,21,RELAXED
 22:36:37,00:01:07,67496,496,79,20.51,RELAXED
 22:36:37,00:01:08,67708,492,79,22.46,RELAXED
 22:36:38,00:01:09,69001,496,77,24.41,RELAXED
 22:36:38,00:01:09,69213,494,77,36.13,RELAXED
 22:36:39,00:01:09,69426,493,77,26.37,RELAXED
 22:36:39,00:01:10,69638,497,77,19.04,RELAXED
 22:36:39,00:01:10,69851,493,77,21.97,RELAXED
 22:36:39,00:01:10,70064,495,77,24.41,RELAXED
 22:36:40,00:01:10,70276,496,77,30.76,RELAXED
 22:36:40,00:01:10,70489,493,77,17.09,RELAXED
 22:36:40,00:01:11,70702,495,77,35.16,RELAXED
 22:36:40,00:01:11,70914,494,77,21.48,RELAXED
 22:36:40,00:01:11,71127,492,77,22.46,RELAXED
 22:36:41,00:01:11,71339,495,77,22.46,RELAXED
 22:36:41,00:01:12,71552,492,76,22.46,RELAXED
 22:36:41,00:01:12,71763,492,76,24.9,RELAXED
 22:36:41,00:01:12,71976,493,78,23.44,RELAXED
 22:36:41,00:01:12,72188,489,78,24.9,RELAXED
 22:36:42,00:01:12,72401,492,78,22.46,RELAXED
 22:36:42,00:01:13,72613,491,78,22.95,RELAXED
 22:36:42,00:01:13,72826,489,78,38.09,RELAXED
 22:36:42,00:01:13,73038,491,78,21,RELAXED
 22:36:42,00:01:13,73251,489,78,24.41,RELAXED
 22:36:43,00:01:13,73463,489,78,22.46,RELAXED
 22:36:43,00:01:14,73676,491,78,22.46,RELAXED
 22:36:43,00:01:14,73888,487,78,22.46,RELAXED
 22:36:43,00:01:14,74101,491,78,26.86,RELAXED
 22:36:44,00:01:14,74313,489,78,27.34,RELAXED
 22:36:45,00:01:16,76171,499,82,25.88,SAD
 22:36:46,00:01:16,76384,492,82,22.95,SAD
 22:36:46,00:01:17,76596,495,82,21.97,SAD
 22:36:46,00:01:17,76809,494,83,21.97,SAD
 22:36:46,00:01:17,77021,497,83,27.34,SAD
 22:36:46,00:01:17,77234,493,83,25.88,SAD
 22:36:47,00:01:17,77447,490,83,21.48,SAD
 22:36:47,00:01:18,77659,492,83,23.93,SAD
 22:36:47,00:01:18,77872,489,83,23.44,SAD
 22:36:47,00:01:18,78084,489,83,27.34,SAD
 22:36:48,00:01:18,78297,492,84,24.41,SAD
 22:36:48,00:01:19,78510,488,84,21.97,SAD
 22:36:48,00:01:19,78722,490,84,23.44,SAD
 22:36:48,00:01:19,78935,491,84,41.02,SAD
 22:36:48,00:01:19,79147,488,84,35.16,SAD
 22:36:49,00:01:19,79360,491,84,20.51,SAD
 22:36:49,00:01:20,79571,491,85,35.64,HAPPY
 22:36:49,00:01:20,79784,490,85,31.74,HAPPY
 22:36:49,00:01:20,79997,493,85,28.32,HAPPY
 22:36:49,00:01:20,80209,490,86,24.41,HAPPY
 22:36:50,00:01:20,80422,491,86,26.37,HAPPY
 22:36:50,00:01:21,80634,493,86,33.69,HAPPY
 22:36:50,00:01:21,80847,489,86,21.48,HAPPY
 22:36:50,00:01:21,81059,493,86,36.13,HAPPY
 22:36:51,00:01:21,81272,491,86,29.79,HAPPY
 22:36:51,00:01:21,81484,490,86,42.48,HAPPY
 22:36:51,00:01:22,81697,496,86,24.9,HAPPY
 22:36:51,00:01:22,81909,496,86,15.63,HAPPY
 22:36:51,00:01:22,82122,496,90,24.9,HAPPY
 22:36:52,00:01:22,82334,494,90,28.32,HAPPY
 22:36:52,00:01:23,82547,488,96,32.23,HAPPY
 22:36:52,00:01:23,82759,491,96,24.41,HAPPY
 22:36:52,00:01:23,82972,489,96,34.18,HAPPY
 22:36:52,00:01:23,83185,487,95,40.04,HAPPY
 22:36:53,00:01:23,83397,490,95,20.02,HAPPY
 22:36:53,00:01:24,83610,488,95,36.62,HAPPY
 22:36:53,00:01:24,83822,488,95,32.71,HAPPY
 22:36:53,00:01:24,84035,490,94,21.97,HAPPY
 22:36:53,00:01:24,84247,486,94,24.41,HAPPY
 22:36:54,00:01:24,84460,488,94,40.53,HAPPY
 22:36:54,00:01:25,84672,488,94,19.53,HAPPY
 22:36:54,00:01:25,84885,485,94,22.46,HAPPY
 22:36:54,00:01:25,85097,488,94,23.93,HAPPY
 22:36:55,00:01:25,85310,487,93,21,HAPPY
 22:36:55,00:01:26,85523,486,93,29.3,HAPPY
 22:36:55,00:01:26,85735,489,93,28.81,HAPPY
 22:36:55,00:01:26,85948,486,93,24.41,HAPPY
 22:36:55,00:01:26,86160,488,93,27.34,HAPPY
 22:36:56,00:01:26,86373,489,93,29.79,HAPPY
 22:36:56,00:01:27,86585,488,93,31.25,HAPPY
 22:36:56,00:01:27,86798,495,84,36.62,SAD
 22:36:56,00:01:27,87010,493,84,16.11,SAD
 22:36:56,00:01:27,87223,491,84,35.64,SAD
 22:36:57,00:01:27,87436,494,83,25.88,SAD
 22:36:57,00:01:28,87648,492,83,35.64,SAD
 22:36:57,00:01:28,87861,493,83,32.71,SAD
 22:36:57,00:01:28,88073,497,83,43.46,SAD
 22:36:58,00:01:28,88286,494,82,38.57,SAD
 22:36:58,00:01:28,88498,497,82,21.48,SAD
 22:36:58,00:01:29,88711,496,82,40.04,SAD
 22:36:58,00:01:29,88923,493,82,32.71,SAD
 22:36:58,00:01:29,89136,496,82,25.39,SAD
 22:36:59,00:01:29,89348,495,82,36.62,SAD
 22:36:59,00:01:30,89561,496,80,31.25,SAD
 22:36:59,00:01:30,89774,499,80,23.93,SAD
 22:36:59,00:01:30,89986,495,80,26.37,SAD
 22:36:59,00:01:30,90199,497,80,32.71,SAD
 22:37:00,00:01:30,90412,499,76,39.55,RELAXED
 22:37:00,00:01:31,90624,496,76,34.67,RELAXED
 22:37:00,00:01:31,90836,499,76,36.62,RELAXED
 22:37:00,00:01:31,91048,498,76,40.04,RELAXED
 22:37:01,00:01:31,91261,496,76,23.93,RELAXED
 22:37:01,00:01:31,91473,498,76,32.23,RELAXED
 22:37:01,00:01:32,91686,497,76,34.18,RELAXED
 22:37:01,00:01:32,91899,497,76,21.48,RELAXED
 22:37:01,00:01:32,92111,500,76,28.81,RELAXED
 22:37:02,00:01:32,92324,496,76,38.09,RELAXED
 22:37:02,00:01:33,92536,498,76,25.39,RELAXED
 22:37:02,00:01:33,92749,498,76,30.76,RELAXED
 22:37:02,00:01:33,92961,496,76,41.5,RELAXED
 22:37:02,00:01:33,93174,499,76,36.13,RELAXED
 22:37:03,00:01:33,93387,498,76,34.18,RELAXED
 22:37:03,00:01:34,93599,497,76,23.44,RELAXED
 22:37:03,00:01:34,93812,500,83,29.3,SAD
 22:37:03,00:01:34,94025,497,83,17.09,SAD
 22:37:03,00:01:34,94237,497,88,26.37,HAPPY
 22:37:04,00:01:34,94449,501,88,25.88,HAPPY
 22:37:04,00:01:35,94662,492,88,24.9,HAPPY
 22:37:04,00:01:35,94875,492,88,25.88,HAPPY
 22:37:04,00:01:35,95087,492,88,40.04,HAPPY
 22:37:05,00:01:35,95300,491,88,31.74,HAPPY
 22:37:05,00:01:36,95512,498,82,15.63,SAD
 22:37:05,00:01:36,95725,498,82,26.86,SAD
 22:37:05,00:01:36,95938,498,82,42.97,SAD
 22:37:05,00:01:36,96150,502,82,24.9,SAD
 22:37:06,00:01:36,96363,499,81,23.93,SAD
 22:37:06,00:01:37,96575,501,81,27.83,SAD
 22:37:06,00:01:37,96788,500,81,25.88,SAD
 22:37:06,00:01:37,97001,493,81,24.41,SAD
 22:37:06,00:01:37,97213,495,81,28.81,SAD
 22:37:07,00:01:37,97426,494,81,42.48,SAD
 22:37:07,00:01:38,97638,495,81,21.48,SAD
 22:37:07,00:01:38,97851,497,81,24.41,SAD
 22:37:07,00:01:38,98063,493,81,34.18,SAD
 22:37:08,00:01:38,98276,495,81,38.09,SAD
 22:37:08,00:01:38,98488,497,81,31.25,SAD
 22:37:09,00:01:40,99729,502,88,14.16,HAPPY
 22:37:09,00:01:40,99942,499,88,17.58,HAPPY
 22:37:09,00:01:40,100154,502,88,22.46,HAPPY
 22:37:10,00:01:40,100367,504,88,30.27,HAPPY
 22:37:10,00:01:41,100580,501,88,29.3,HAPPY
 22:37:10,00:01:41,100792,505,88,23.93,HAPPY
 22:37:10,00:01:41,101005,505,88,22.95,HAPPY
 22:37:10,00:01:41,101218,517,88,19.04,HAPPY
 22:37:11,00:01:41,101430,505,88,26.86,HAPPY
 22:37:11,00:01:42,101643,504,88,23.44,HAPPY
 22:37:11,00:01:42,101855,503,88,40.53,HAPPY
 22:37:11,00:01:42,102068,507,88,22.95,HAPPY
 22:37:13,00:01:44,103565,506,77,40.04,RELAXED
 22:37:13,00:01:44,103778,502,77,30.76,RELAXED
 22:37:13,00:01:44,103990,505,77,36.62,RELAXED
 22:37:13,00:01:44,104203,504,77,33.2,RELAXED
 22:37:14,00:01:44,104415,502,77,29.79,RELAXED
 22:37:14,00:01:45,104628,505,77,24.41,RELAXED
 22:37:14,00:01:45,104841,502,77,28.81,RELAXED
 22:37:14,00:01:45,105053,501,77,24.9,RELAXED
 22:37:15,00:01:45,105266,505,77,38.57,RELAXED
 22:37:15,00:01:45,105478,501,77,25.88,RELAXED
 22:37:15,00:01:46,105691,504,80,26.37,SAD
 22:37:15,00:01:46,105903,504,80,40.04,SAD
 22:37:15,00:01:46,106116,502,80,38.57,SAD
 22:37:16,00:01:46,106329,506,80,22.95,SAD
 22:37:16,00:01:47,106541,503,80,39.55,SAD
 22:37:16,00:01:47,106754,501,80,22.95,SAD
 22:37:16,00:01:47,106966,503,80,24.9,SAD
 22:37:16,00:01:47,107179,499,80,21.48,SAD
 22:37:17,00:01:47,107392,500,80,33.69,SAD
 22:37:17,00:01:48,107603,502,80,29.79,SAD
 22:37:17,00:01:48,107816,499,80,26.37,SAD
 22:37:17,00:01:48,108028,501,80,22.46,SAD
 22:37:19,00:01:50,109527,503,110,32.71,HAPPY
 22:37:19,00:01:50,109740,501,110,35.16,HAPPY
 22:37:19,00:01:50,109952,500,110,29.79,HAPPY
 22:37:19,00:01:50,110164,503,110,35.16,HAPPY
 22:37:20,00:01:50,110377,499,110,31.74,HAPPY
 22:37:20,00:01:51,110589,501,110,34.67,HAPPY
 22:37:20,00:01:51,110802,502,110,35.16,HAPPY
 22:37:20,00:01:51,111014,494,110,24.41,HAPPY
 22:37:20,00:01:51,111227,504,110,37.6,HAPPY
 22:37:21,00:01:51,111440,503,110,36.13,HAPPY
 22:37:21,00:01:52,111653,500,110,25.88,HAPPY
 22:37:21,00:01:52,111865,503,110,41.5,HAPPY
 22:37:24,00:01:55,115008,505,117,31.25,HAPPY
 22:37:24,00:01:55,115220,506,117,30.76,HAPPY
 22:37:25,00:01:55,115433,502,117,27.34,HAPPY
 22:37:25,00:01:56,115646,505,113,21.48,HAPPY
 22:37:25,00:01:56,115858,504,113,40.53,HAPPY
 22:37:25,00:01:56,116071,502,113,31.74,HAPPY
 22:37:26,00:01:56,116284,505,113,18.07,HAPPY
 22:37:26,00:01:56,116496,504,113,38.57,HAPPY
 22:37:26,00:01:57,116709,503,113,30.76,HAPPY
 22:37:26,00:01:57,116921,506,113,25.88,HAPPY
 22:37:26,00:01:57,117134,503,113,24.9,HAPPY
 22:37:27,00:01:57,117347,504,113,25.88,HAPPY
 22:37:27,00:01:58,117559,506,113,22.46,HAPPY
 22:37:27,00:01:58,117772,502,113,24.9,HAPPY
 22:37:27,00:01:58,117984,505,113,34.67,HAPPY
 22:37:29,00:02:00,119636,506,78,18.55,RELAXED
 22:37:29,00:02:00,119848,504,78,35.16,RELAXED
 22:37:29,00:02:00,120061,508,81,26.86,SAD
 22:37:30,00:02:00,120273,506,81,29.79,SAD
 22:37:30,00:02:00,120486,506,81,22.46,SAD
 22:37:30,00:02:01,120699,508,81,21.48,SAD
 22:37:30,00:02:01,120911,505,81,31.74,SAD
 22:37:30,00:02:01,121124,508,81,29.79,SAD
 22:37:31,00:02:01,121336,509,81,24.9,SAD
 22:37:31,00:02:02,121549,505,81,25.39,SAD
 22:37:31,00:02:02,121762,508,81,18.55,SAD
 22:37:31,00:02:02,121974,506,81,36.62,SAD
 22:37:31,00:02:02,122187,504,81,34.67,SAD
 22:37:32,00:02:02,122399,507,81,30.76,SAD
 22:37:33,00:02:04,123949,501,84,35.16,SAD
 22:37:33,00:02:04,124161,505,84,23.44,SAD
 22:37:34,00:02:04,124374,504,84,22.95,SAD
 22:37:34,00:02:05,124585,503,84,26.86,SAD
 22:37:34,00:02:05,124798,506,84,39.06,SAD
 22:37:34,00:02:05,125011,504,84,23.44,SAD
 22:37:34,00:02:05,125223,504,84,23.93,SAD
 22:37:35,00:02:05,125436,507,84,22.46,SAD
 22:37:35,00:02:06,125648,504,84,21.48,SAD
 22:37:35,00:02:06,125861,505,84,31.74,SAD
 22:37:35,00:02:06,126073,507,84,16.11,SAD
 22:37:36,00:02:06,126286,502,84,30.27,SAD
 22:37:36,00:02:06,126499,506,84,19.04,SAD
 22:37:36,00:02:07,126711,504,84,38.09,SAD
 22:37:36,00:02:07,126924,502,84,23.93,SAD
 22:37:36,00:02:07,127136,504,84,38.09,SAD
 22:37:37,00:02:07,127349,503,84,35.64,SAD
 22:37:37,00:02:08,127562,503,84,22.95,SAD
 22:37:37,00:02:08,127774,508,84,37.11,SAD
 22:37:37,00:02:08,127987,504,84,22.46,SAD
 22:37:37,00:02:08,128199,506,84,21.97,SAD
 22:37:38,00:02:08,128412,506,84,30.27,SAD
 22:37:38,00:02:09,128625,503,84,38.57,SAD
 22:37:38,00:02:09,128837,504,84,21.97,SAD
 22:37:38,00:02:09,129050,503,83,38.09,SAD
 22:37:39,00:02:09,129262,501,83,24.41,SAD
 22:37:39,00:02:09,129475,504,83,25.88,SAD
 22:37:39,00:02:10,129688,502,83,29.3,SAD
 22:37:39,00:02:10,129900,502,83,25.88,SAD
 22:37:39,00:02:10,130113,505,83,20.02,SAD
 22:37:40,00:02:10,130325,500,83,33.69,SAD
 22:37:40,00:02:11,130538,501,83,31.25,SAD
 22:37:40,00:02:11,130750,501,83,39.55,SAD
 22:37:40,00:02:11,130963,498,83,22.46,SAD
 22:37:40,00:02:11,131176,501,83,38.57,SAD
 22:37:41,00:02:11,131388,499,83,26.86,SAD
 22:37:41,00:02:12,131601,499,83,33.69,SAD
 22:37:41,00:02:12,131813,502,83,31.25,SAD
 22:37:41,00:02:12,132026,500,83,37.6,SAD
 22:37:41,00:02:12,132239,500,83,23.44,SAD
 22:37:42,00:02:12,132451,504,83,41.5,SAD
 22:37:42,00:02:13,132664,500,84,34.18,SAD
 22:37:42,00:02:13,132876,503,84,34.67,SAD
 22:37:42,00:02:13,133089,503,84,25.88,SAD
 22:37:43,00:02:13,133302,501,84,35.64,SAD
 22:37:43,00:02:14,133514,503,84,24.9,SAD
 22:37:43,00:02:14,133727,503,87,18.55,HAPPY
 22:37:43,00:02:14,133939,500,87,29.79,HAPPY
 22:37:43,00:02:14,134152,504,87,25.39,HAPPY
 22:37:44,00:02:14,134364,502,87,31.25,HAPPY
 22:37:44,00:02:15,134577,502,87,24.41,HAPPY
 22:37:44,00:02:15,134790,504,87,26.37,HAPPY
 22:37:44,00:02:15,135002,501,87,27.83,HAPPY
 22:37:44,00:02:15,135215,506,87,21,HAPPY
 22:37:45,00:02:15,135428,502,87,27.34,HAPPY
 22:37:45,00:02:16,135640,498,87,26.37,HAPPY
 22:37:45,00:02:16,135853,501,87,25.39,HAPPY
 22:37:45,00:02:16,136065,500,87,27.83,HAPPY
 22:37:47,00:02:18,137614,507,72,32.71,RELAXED
 22:37:47,00:02:18,137826,499,72,36.13,RELAXED
 22:37:47,00:02:18,138039,496,72,29.3,RELAXED
